Question,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Correct Answer(s)
"On the way into a secure building, an unknown individual strikes up a conversation with an employee. The employee scans the required badge at the door while the unknown individual holds the door open, seemingly out of courtesy, for the employee. Which of the following social engineering techniques is being utilized?",Shoulder surfing,Watering-hole attack,Tailgating,Impersonation,,,,,C
"Two hospitals merged into a single organization. The privacy officer requested a review of all records to ensure encryption was used during record storage, in compliance with regulations. During the review, the officer discovered that medical diagnosis codes and patient names were left unsecured. Which of the following types of data does this combination BEST represent?",Personal health information,Personally identifiable information,Tokenized data,Proprietary data,,,,,A
A company discovered that terabytes of data have been exfiltrated over the past year after an employee clicked on an email link. The threat continued to evolve and remain undetected until a security analyst noticed an abnormal amount of external connections when the employee was not working. Which of the following is the MOST likely threat actor?,Shadow IT,Script kiddies,APT,Insider threat,,,,,C
An untrusted SSL certificate was discovered during the most recent vulnerability scan. A security analyst determines the certificate is signed properly and is a valid wildcard. This same certificate is installed on the other company servers without issue. Which of the following is the MOST likely reason for this finding?,The required intermediate certificate is not loaded as part of the certificate chain.,The certificate is on the CRL and is no longer valid.,"The corporate CA has expired on every server, causing the certificate to fail verification.",The scanner is incorrectly configured to not trust this certificate when detected on the server.,,,,,A
A company wants to improve end users' experiences when they log in to a trusted partner website. The company does not want the users to be issued separate credentials for the partner website. Which of the following should be implemented to allow users to authenticate using their own credentials to log in to the trusted partner's website?,Directory service,AAA server,Federation,Multifactor authentication,,,,,C
"A company is under investigation for possible fraud. As part of the investigation, the authorities need to review all emails and ensure data is not deleted. Which of the following should the company implement to assist in the investigation?",Legal hold,Chain of custody,Data loss prevention,Content filter,,,,,A
"A user wanted to catch up on some work over the weekend but had issues logging in to the corporate network using a VPN. On Monday, the user opened a ticket for this issue but was able to log in successfully. Which of the following BEST describes the policy that is being implemented?",Time-based logins,Geofencing,Network location,Password history,,,,,A
A major political party experienced a server breach. The hacker then publicly posted stolen internal communications concerning campaign strategies to give the opposition party an advantage. Which of the following BEST describes these threat actors?,Semi-authorized hackers,State actors,Script kiddies,Advanced persistent threats,,,,,B
A company is required to continue using legacy software to support a critical service. Which of the following BEST explains a risk of this practice?,Default system configuration,Unsecure protocols,Lack of vendor support,Weak encryption,,,,,C
A security analyst has been tasked with ensuring all programs that are deployed into the enterprise have been assessed in a runtime environment. Any critical issues found in the program must be sent back to the developer for verification and remediation. Which of the following BEST describes the type of assessment taking place?,Input validation,Dynamic code analysis,Fuzzing,Manual code review,,,,,B
Which of the following can work as an authentication method and as an alerting mechanism for unauthorized access attempts?,Smart card,Push notifications,Attestation service,HMAC-based,one-time password,,,,B
A company has a flat network in the cloud. The company needs to implement a solution to segment its production and non-production servers without migrating servers to a new network. Which of the following solutions should the company implement?,Intranet,Screened subnet,VLAN segmentation,Zero Trust,,,,,C
The president of a regional bank likes to frequently provide SOC tours to potential investors. Which of the following policies BEST reduces the risk of malicious activity occurring after a tour?,Password complexity,Acceptable use,Access control,Clean desk,,,,,D
"A Chief Information Security Officer has defined resiliency requirements for a new data center architecture. The requirements are as follows:
* Critical fileshares will remain accessible during and after a natural disaster.
* Five percent of hard disks can fail at any given time without impacting the data.
* Systems will be forced to shut down gracefully when battery levels are below 20%.
Which of the following are required to BEST meet these objectives? (Choose three.)",Fiber switching,IaC,NAS,RAID,UPS,Redundant power supplies,Geographic dispersal,Snapshots,Load balancing
Which of the following is a security best practice that ensures the integrity of aggregated log files within a SIEM?,Set up hashing on the source log file servers that complies with local regulatory requirements.,Back up the aggregated log files at least two times a day or as stated by local regulatory requirements.,Write protect the aggregated log files and move them to an isolated server with limited access.,Back up the source log files and archive them for at least six years or in accordance with local regulatory requirements.,,,,,A
A security analyst is evaluating the risks of authorizing multiple security solutions to collect data from the company's cloud environment. Which of the following is an immediate consequence of these integrations?,Non-compliance with data sovereignty rules,Loss of the vendors interoperability support,Mandatory deployment of a SIEM solution,Increase in the attack surface,,,,,D
Which of the following explains why RTO is included in a BIA?,It identifies the amount of allowable downtime for an application or system.,It prioritizes risks so the organization can allocate resources appropriately.,It monetizes the loss of an asset and determines a break-even point for risk mitigation.,It informs the backup approach so that the organization can recover data to a known time.,,,,,A
"A security analyst is reviewing the vulnerability scan report for a web server following an incident. The vulnerability that was used to exploit the server is present in historical vulnerability scan reports, and a patch is available for the vulnerability. Which of the following is the MOST likely cause?",Security patches were uninstalled due to user impact.,An adversary altered the vulnerability scan reports,A zero-day vulnerability was used to exploit the web server,The scan reported a false negative for the vulnerability,,,,,A
Which of the following is a known security risk associated with data archives that contain financial information?,Data can become a liability if archived longer than required by regulatory guidance.,Data must be archived off-site to avoid breaches and meet business requirements.,Companies are prohibited from providing archived data to e-discovery requests.,Unencrypted archives should be preserved as long as possible and encrypted.,,,,,A
Which of the following BEST describes the process of documenting who has access to evidence?,Order of volatility,Chain of custody,Non-repudiation,Admissibility,,,,,B
A systems engineer wants to leverage a cloud-based architecture with low latency between network-connected devices that also reduces the bandwidth that is required by performing analytics directly on the endpoints. Which of the following would BEST meet the requirements? (Choose two.),Private cloud,SaaS,Hybrid cloud,IaaS,DRaaS,Fog computing,,,C & F
Which of the following is a policy that provides a greater depth and breadth of knowledge across an organization?,Asset management policy,Separation of duties policy,Acceptable use policy,Job rotation policy,,,,,D
A company is moving its retail website to a public cloud provider. The company wants to tokenize credit card data but not allow the cloud provider to see the stored credit card information. Which of the following would BEST meet these objectives?,WAF,CASB,VPN,TLS,,,,,B
"A security analyst is tasked with defining the ""something you are"" factor of the company's MFA settings. Which of the following is BEST to use to complete the configuration?",Gait analysis,Vein,Soft token,"HMAC-based, one-time password",,,,,B
Which of the following processes will eliminate data using a method that will allow the storage device to be reused after the process is complete?,Pulverizing,Overwriting,Shredding,Degaussing,,,,,B
A web server has been compromised due to a ransomware attack. Further investigation reveals the ransomware has been in the server for the past 72 hours. The systems administrator needs to get the services back up as soon as possible. Which of the following should the administrator use to restore services to a secure state?,The last incremental backup that was conducted 72 hours ago,The last known-good configuration,The last full backup that was conducted seven days ago,The baseline OS configuration,,,,,B
A network engineer created two subnets that will be used for production and development servers. Per security policy production and development servers must each have a dedicated network that cannot communicate with one another directly. Which of the following should be deployed so that server administrators can access these devices?,VLANs,Internet proxy servers,NIDS,Jump servers,,,,,D
A social media company based in North America is looking to expand into new global markets and needs to maintain compliance with international standards. With which of the following is the company's data protection officer MOST likely concerned?,NIST Framework,ISO 27001,GDPR,PCI-DSS,,,,,C
"A security architect is required to deploy to conference rooms some workstations that will allow sensitive data to be displayed on large screens. Due to the nature of the data, it cannot be stored in the conference rooms. The file share is located in a local data center. Which of the following should the security architect recommend to BEST meet the requirement?",Fog computing and KVMs,VDI and thin clients,Private cloud and DLP,Full drive encryption and thick clients,,,,,B
A Chief Information Security Officer wants to ensure the organization is validating and checking the integrity of zone transfers. Which of the following solutions should be implemented?,DNSSEC,LDAPS,NGFW,DLP,,,,,A
Which of the following controls is used to make an organization initially aware of a data compromise?,Protective,Preventative,Corrective,Detective,,,,,D
An annual information security assessment has revealed that several OS-level configurations are not in compliance due to outdated hardening standards the company is using. Which of the following would be BEST to use to update and reconfigure the OS-level security configurations?,CIS benchmarks,GDPR guidance,Regional regulations,ISO 27001 standards,,,,,A
A company acquired several other small companies. The company that acquired the others is transitioning network services to the cloud. The company wants to make sure that performance and security remain intact. Which of the following BEST meets both requirements?,High availability,Application security,Segmentation,Integration and auditing,,,,,C
"After a recent external audit, the compliance team provided a list of several non-compliant, in-scope hosts that were not encrypting cardholder data at rest. Which of the following compliance frameworks would address the compliance team's GREATEST concern?",PCI DSS,GDPR,ISO 27001,NIST CSF,,,,,A
A security analyst is receiving several alerts per user and is trying to determine if various logins are malicious. The security analyst would like to create a baseline of normal operations and reduce noise. Which of the following actions should the security analyst perform?,Adjust the data flow from authentication sources to the SIEM.,Disable email alerting and review the SIEM directly.,Adjust the sensitivity levels of the SIEM correlation engine.,Utilize behavioral analysis to enable the SIEM's learning mode.,,,,,D
Which of the following is the MOST effective way to detect security flaws present on third-party libraries embedded on software before it is released into production?,Employ different techniques for server- and client-side validations,Use a different version control system for third-party libraries,Implement a vulnerability scan to assess dependencies earlier on SDLC,Increase the number of penetration tests before software release,,,,,C
Which of the following prevents an employee from seeing a colleague who is visiting an inappropriate website?,Job rotation policy,NDA,AUP,Separation of duties policy,,,,,C
A user reports falling for a phishing email to an analyst. Which of the following system logs would the analyst check FIRST?,DNS,Message gateway,Network,Authentication,,,,,B
An attacker has determined the best way to impact operations is to infiltrate third-party software vendors. Which of the following vectors is being exploited,Social media,Cloud,Supply chain,Social Engineering,,,,,C
"An organization would like to give remote workers the ability to use applications hosted inside the corporate network. Users will be allowed to use their personal computers, or they will be provided organization assets. Either way, no data or applications will be installed locally on any user systems. Which of the following mobile solutions would accomplish these goals?",VDI,MDM,COPE,UTM,,,,,A
Which of the following is used to ensure that evidence is admissible in legal proceedings when it is collected and provided to the authorities?,Chain of custody,Legal hold,Event log,Artifacts,,,,,A
The Chief Information Security Officer (CISO) of a bank recently updated the incident response policy. The CISO is concerned that members of the incident response team do not understand their roles. The bank wants to test the policy but with the least amount of resources or impact. Which of the following BEST meets the requirements?,Warm site failover,Tabletop walk-through,Parallel path testing,Full outage simulation,,,,,B
Which of the following control types fixes a previously identified issue and mitigates a risk?,Detective,Corrective,Preventative,Finalized,,,,,B
An analyst is reviewing logs associated with an attack. The logs indicate an attacker downloaded a malicious file that was quarantined by the AV solution. The attacker utilized a local non-administrative account to restore the malicious file to a new location. The file was then used by another process to execute a payload. Which of the following attacks did the analyst observe?,Privilege escalation,Request forgeries,Injection,Replay attack,,,,,C
A security engineer must deploy two wireless routers in an office suite. Other tenants in the office building should not be able to connect to this wireless network. Which of the following protocols should the engineer implement to ensure the STRONGEST encryption?,WPS,WPA2,WAP,HTTPS,,,,,B
An attacker browses a company's online job board attempting to find any relevant information regarding the technologies the company uses. Which of the following BEST describes this social engineering technique?,Hoax,Reconnaissance,Impersonation,Pretexting,,,,,B
"During an incident response process involving a laptop, a host was identified as the entry point for malware. The management team would like to have the laptop restored and given back to the user. The cybersecurity analyst would like to continue investigating the intrusion on the host. Which of the following would allow the analyst to continue the investigation and also return the laptop to the user as soon as possible?",dd,memdump,tcpdump,head,,,,,A
"An analyst is trying to identify insecure services that are running on the internal network. After performing a port scan, the analyst identifies that a server has some insecure services enabled on default ports. Which of the following BEST describes the services that are currently running and the secure alternatives for replacing them? (Choose three.)","SFTP, FTPS","SNMPv2, SNMPv3","HTTP, HTTPS","TFTP, FTP","SNMPv1, SNMPv2","Telnet, SSH","TLS, SSL","POP, IMAP","Login, rlogin"
"A security analyst needs to produce a document that details how a security incident occurred, the steps that were taken for recovery, and how future incidents can be avoided. During which of the following stages of the response process will this activity take place?",Recovery,Identification,Lessons learned,Preparation,,,,,C
"An administrator is configuring a firewall rule set for a subnet to only access DHCP, web pages, and SFTP, and to specifically block FTP. Which of the following would BEST accomplish this goal?","[Permission Source Destination Port]
Allow: Any Any 80 -
Allow: Any Any 443 -
Allow: Any Any 67 -
Allow: Any Any 68 -
Allow: Any Any 22 -
Deny: Any Any 21 -
Deny: Any Any","[Permission Source Destination Port]
Allow: Any Any 80 -
Allow: Any Any 443 -
Allow: Any Any 67 -
Allow: Any Any 68 -
Deny: Any Any 22 -
Allow: Any Any 21 -
Deny: Any Any","[Permission Source Destination Port]
Allow: Any Any 80 -
Allow: Any Any 443 -
Allow: Any Any 22 -
Deny: Any Any 67 -
Deny: Any Any 68 -
Deny: Any Any 21 -
Allow: Any Any","[Permission Source Destination Port]
Allow: Any Any 80 -
Allow: Any Any 443 -
Deny: Any Any 67 -
Allow: Any Any 68 -
Allow: Any Any 22 -
Allow: Any Any 21 -
Allow: Any Any",,,,,C
"While investigating a recent security incident, a security analyst decides to view all network connections on a particular server. Which of the following would provide the desired information?",arp,nslookup,netstat,nmap,,,,,C
"A company recently decided to allow its employees to use their personally owned devices for tasks like checking email and messaging via mobile applications. The company would like to use MDM, but employees are concerned about the loss of personal data. Which of the following should the IT department implement to BEST protect the company against company data loss while still addressing the employees’ concerns?",Enable the remote-wiping option in the MDM software in case the phone is stolen.,Configure the MDM software to enforce the use of PINs to access the phone.,Configure MDM for FDE without enabling the lock screen.,Perform a factory reset on the phone before installing the company's applications.,,,,,A
The concept of connecting a user account across the systems of multiple enterprises is BEST known as:,federation.,a remote access policy.,multifactor authentication.,single sign-on,,,,,A
A user received an SMS on a mobile phone that asked for bank details. Which of the following social-engineering techniques was used in this case?,SPIM,Vishing,Spear phishing,Smishing,,,,,D
A company is working on mobile device security after a report revealed that users granted non-verified software access to corporate data. Which of the following is the MOST effective security control to mitigate this risk?,Block access to application stores,Implement OTA updates,Update the BYOD policy,Deploy a uniform firmware,,,,,A
"A security analyst needs to implement security features across smartphones, laptops, and tablets. Which of the following would be the MOST effective across heterogeneous platforms?",Enforcing encryption,Deploying GPOs,Removing administrative permissions,Applying MDM software,,,,,D
"The new Chief Information Security Officer at a company has asked the security team to implement stronger user account policies. The new policies require:
* Users to choose a password unique to their last ten passwords 
* Users to not log in from certain high-risk countries 
Which of the following should the security team implement? (Choose two.)",Password complexity,Password history,Geolocation,Geofencing,Geotagging,Password reuse,,,B & D
Which of the following is MOST likely to outline the roles and responsibilities of data controllers and data processors?,SSAE SOC 2,PCI DSS,GDPR,ISO 31000,,,,,C
"Which of the following is MOST likely to contain ranked and ordered information on the likelihood and potential impact of catastrophic events that may affect business processes and systems, while also highlighting the residual risks that need to be managed after mitigating controls have been implemented?",An RTO report,A risk register,A business impact analysis,An asset value register,A disaster recovery plan,,,,B
"A worldwide manufacturing company has been experiencing email account compromises. In one incident, a user logged in from the corporate office in France, but then seconds later, the same user account attempted a login from Brazil. Which of the following account policies would BEST prevent this type of attack?",Network location,Impossible travel time,Geolocation,Geofencing,,,,,B
"A new vulnerability in the SMB protocol on the Windows systems was recently discovered, but no patches are currently available to resolve the issue. The security administrator is concerned that servers in the company’s DMZ will be vulnerable to external attack; however, the administrator cannot disable the service on the servers, as SMB is used by a number of internal systems and applications on the LAN. Which of the following TCP ports should be blocked for all external inbound connections to the DMZ as a workaround to protect the servers? (Choose two.)",135,139,143,161,443,445,,,B & F
"A recent phishing campaign resulted in several compromised user accounts. The security incident response team has been tasked with reducing the manual labor of filtering through all the phishing emails as they arrive and blocking the sender’s email address, along with other timeconsuming mitigation actions. Which of the following can be configured to streamline those tasks?",SOAR playbook,MDM policy,Firewall rules,URL filter,SIEM data collection,,,,A
Which of the following concepts BEST describes tracking and documenting changes to software and managing access to files and systems?,Version control,Continuous monitoring,Stored procedures,Automation,,,,,A
A penetration tester is brought on site to conduct a full attack simulation at a hospital. The penetration tester notices a WAP that is hanging from the drop ceiling by its cabling and is reachable. Which of the following recommendations would the penetration tester MOST likely make given this observation?,Employ a general contractor to replace the drop-ceiling tiles.,Place the network cabling inside a secure conduit.,Secure the access point and cabling inside the drop ceiling.,Utilize only access points that have internal antennas,,,,,C
Which of the following techniques eliminates the use of rainbow tables for password cracking?,Hashing,Tokenization,Asymmetric encryption,Salting,,,,,D
"During a security assessment, a security analyst finds a file with overly permissive permissions. Which of the following tools will allow the analyst to reduce the permissions for the existing users and groups and remove the set-user-ID bit from the file?",ls,chflags,chmod,lsof,setuid,,,,C
"A network administrator is concerned about users being exposed to malicious content when accessing company cloud applications. The administrator wants to be able to block access to sites based on the AUP. The users must also be protected because many of them work from home or at remote locations, providing on-site customer support. Which of the following should the administrator employ to meet these criteria?",Implement NAC.,Implement an SWG.,Implement a URL filter.,Implement an MDM.,,,,,B
A website developer is working on a new e-commerce website and has asked an information security expert for the most appropriate way to store credit card numbers to create an easy reordering process. Which of the following methods would BEST accomplish this goal?,Salting the magnetic strip information,Encrypting the credit card information in transit,Hashing the credit card numbers upon entry,Tokenizing the credit cards in the database,,,,,D
Which of the following supplies non-repudiation during a forensics investigation?,Dumping volatile memory contents first,Duplicating a drive with dd,Using a SHA-2 signature of a drive image,Logging everyone in contact with evidence,Encrypting sensitive data,,,,C
A security analyst is tasked with classifying data to be stored on company servers. Which of the following should be classified as proprietary?,Customers’ dates of birth,Customers’ email addresses,Marketing strategies,Employee salaries,,,,,C
Which of the following holds staff accountable while escorting unauthorized personnel?,Locks,Badges,Cameras,Visitor logs,,,,,C
An organization’s Chief Security Officer (CSO) wants to validate the business’s involvement in the incident response plan to ensure its validity and thoroughness. Which of the following will the CSO MOST likely use?,An external security assessment,A bug bounty program,A tabletop exercise,A red-team engagement,,,,,C
Which of the following documents provides guidance regarding the recommended deployment of network security systems from the manufacturer?,Cloud control matrix,Reference architecture,NIST RMF,CIS Top 20,,,,,B
"During a recent security assessment, a vulnerability was found in a common OS. The OS vendor was unaware of the issue and promised to release a patch within the next quarter. Which of the following BEST describes this type of vulnerability?",Legacy operating system,Weak configuration,Zero day,Supply chain,,,,,C
Which of the following is a targeted attack aimed at compromising users within a specific industry or group?,Watering hole,Typosquatting,Hoax,Impersonation,,,,,A
"To reduce and limit software and infrastructure costs, the Chief Information Officer has requested to move email services to the cloud. The cloud provider and the organization must have security controls to protect sensitive data. Which of the following cloud services would BEST accommodate the request?",IaaS,PaaS,DaaS,SaaS,,,,,D
A security engineer is concerned that the strategy for detection on endpoints is too heavily dependent on previously defined attacks. The engineer would like a tool to monitor for changes to key files and network traffic on the device. Which of the following tools BEST addresses both detection and prevention?,NIDS,HIPS,AV,NGFW,,,,,B
"During a recent incident, an external attacker was able to exploit an SMB vulnerability over the internet. Which of the following action items should a security analyst perform FIRST to prevent this from occurring again?",Check for any recent SMB CVEs.,Install AV on the affected server.,Block unneeded TCP 445 connections.,Deploy a NIDS in the affected subnet.,,,,,C
A penetration tester is fuzzing an application to identify where the EIP of the stack is located on memory. Which of the following attacks is the penetration tester planning to execute?,Race-condition,Pass-the-hash,Buffer overflow,XSS,,,,,C
Server administrators want to configure a cloud solution so that computing memory and processor usage is maximized most efficiently across a number of virtual servers. They also need to avoid potential denial-of-service situations caused by availability. Which of the following should administrators configure to maximize system availability while efficiently utilizing available computing power?,Dynamic resource allocation,High availability,Segmentation,Container security,,,,,A
A security analyst in a SOC has been tasked with onboarding a new network into the SIEM. Which of the following BEST describes the information that should feed into a SIEM solution in order to adequately support an investigation?,Logs from each device type and security layer to provide correlation of events,Only firewall logs since that is where attackers will most likely try to breach the network,Email and web-browsing logs because user behavior is often the cause of security breaches,NetFlow because it is much more reliable to analyze than syslog and will be exportable from every device,,,,,A
An organization just implemented a new security system. Local laws state that citizens must be notified prior to encountering the detection mechanism to deter malicious activities. Which of the following is being implemented?,Proximity cards with guards,Fence with electricity,Drones with alarms,Motion sensors with signage,,,,,D
An IT security manager requests a report on company information that is publicly available. The manager's concern is that malicious actors will be able to access the data without engaging in active reconnaissance. Which of the following is the MOST efficient approach to perform the analysis?,Provide a domain parameter to theHarvester tool.,Check public DNS entries using dnsenum.,Perform a Nessus vulnerability scan targeting a public company’s IP.,Execute nmap using the options: scan all ports and sneaky mode.,,,,,A
Which of the following environments utilizes dummy data and is MOST likely to be installed locally on a system that allows code to be assessed directly and modified easily with each build?,Production,Test,Staging,Development,,,,,D
"An analyst receives multiple alerts for beaconing activity for a host on the network. After analyzing the activity, the analyst observes the following activity:
* A user enters comptia.org into a web browser. 
* The website that appears is not the comptia.org site. 
* The website is a malicious site from the attacker. 
* Users in a different office are not having this issue. 
Which of the following types of attacks was observed?",On-path attack,DNS poisoning,Locator (URL) redirection,Domain hijacking,,,,,B
Which of the following in the incident response process is the BEST approach to improve the speed of the identification phase?,Activate verbose logging in all critical assets.,Tune monitoring in order to reduce false positive rates.,Redirect all events to multiple syslog servers.,Increase the number of sensors present on the environment.,,,,,B
"A security administrator is analyzing the corporate wireless network. The network only has two access points running on channels 1 and 11. While using airodump-ng, the administrator notices other access points are running with the same corporate ESSID on all available channels and with the same BSSID of one of the legitimate access points. Which of the following attacks is happening on the corporate network?",On-path,Evil twin,Jamming,Rogue access point,Disassociation,,,,B
"When implementing automation with IoT devices, which of the following should be considered FIRST to keep the network secure?",Z-Wave compatibility,Network range,Zigbee configuration,Communication protocols,,,,,D
An organization is concerned that its hosted web servers are not running the most updated version of the software. Which of the following would work BEST to help identify potential vulnerabilities?,hping3 -S comptia-org -p 80,nc -l -v comptia.org -p 80,nmap comptia.org -p 80 -sV,nslookup –port=80 comptia.org,,,,,C
A news article states hackers have been selling access to IoT camera feeds. Which of the following is the MOST likely reason for this issue?,Outdated software,Weak credentials,Lack of encryption,Backdoors,,,,,B
A company wants to build a new website to sell products online. The website will host a storefront application that will allow visitors to add products to a shopping cart and pay for the products using a credit card. Which of the following protocols would be the MOST secure to implement?,SSL,SFTP,SNMP,TLS,,,,,D
"An IT manager is estimating the mobile device budget for the upcoming year. Over the last five years, the number of devices that were replaced due to loss, damage, or theft steadily increased by 10%. Which of the following would BEST describe the estimated number of devices to be replaced next year?",ALE,ARO,RPO,SLE,,,,,B
An organization is repairing the damage after an incident. Which of the following controls is being implemented?,Detective,Preventive,Corrective,Compensating,,,,,C
A Chief Executive Officer’s (CEO) personal information was stolen in a social-engineering attack. Which of the following sources would reveal if the CEO’s personal information is for sale?,Automated information sharing,Open-source intelligence,The dark web,Vulnerability databases,,,,,C
Which of the following typically uses a combination of human and artificial intelligence to analyze event data and take action without intervention?,TTP,OSINT,SOAR,SIEM,,,,,C
"A security analyst has been tasked with creating a new WiFi network for the company. The requirements received by the analyst are as follows:
* Must be able to differentiate between users connected to WiFi 
* The encryption keys need to change routinely without interrupting the users or forcing reauthentication 
* Must be able to integrate with RADIUS 
* Must not have any open SSIDs 
Which of the following options BEST accommodates these requirements?",WPA2-Enterprise,WPA3-PSK,802.11n,WPS,,,,,A
A Chief Security Officer is looking for a solution that can reduce the occurrence of customers receiving errors from back-end infrastructure when systems go offline unexpectedly. The security architect would like the solution to help maintain session persistence. Which of the following would BEST meet the requirements?,Reverse proxy,NIC teaming,Load balancer,Forward proxy,,,,,C
Which of the following should an organization consider implementing in the event executives need to speak to the media after a publicized data breach?,Incident response plan,Business continuity plan,Communication plan,Disaster recovery plan,,,,,C
A well-known organization has been experiencing attacks from APTs. The organization is concerned that custom malware is being created and emailed into the company or installed on USB sticks that are dropped in parking lots. Which of the following is the BEST defense against this scenario?,Configuring signature-based antivirus to update every 30 minutes,Enforcing S/MIME for email and automatically encrypting USB drives upon insertion,Implementing application execution in a sandbox for unknown software,Fuzzing new files for vulnerabilities if they are not digitally signed,,,,,C
A company is implementing BYOD and wants to ensure all users have access to the same cloud-based services. Which of the following would BEST allow the company to meet this requirement?,IaaS,PaaS,MaaS,SaaS,,,,,D
An organization is tuning SIEM rules based off of threat intelligence reports. Which of the following phases of the incident response process does this scenario represent?,Lessons learned,Eradication,Recovery,Preparation,,,,,D
The database administration team is requesting guidance for a secure solution that will ensure confidentiality of cardholder data at rest only in certain fields in the database schema. The requirement is to substitute a sensitive data field with a non-sensitive field that is rendered useless if a data breach occurs. Which of the following is the BEST solution to meet the requirement?,Tokenization,Masking,Full disk encryption,Mirroring,,,,,A
"A company’s security team received notice of a critical vulnerability affecting a high-profile device within the web infrastructure. The vendor patch was just made available online but has not yet been regression tested in development environments. In the interim, firewall rules were implemented to reduce the access to the interface affected by the vulnerability. Which of the following controls does this scenario describe?",Deterrent,Compensating,Detective,Preventive,,,,,B
"A company was recently breached, Part of the company’s new cybersecurity strategy is to centralize the logs from all security devices. Which of the following components forwards the logs to a central source?",Log enrichment,Log aggregation,Log parser,Log collector,,,,,D
Which of the following is the MOST likely reason for securing an air-gapped laboratory HVAC system?,To avoid data leakage,To protect surveillance logs,To ensure availability,To facilitate third-party access,,,,,A
"A user forwarded a suspicious email to the security team. Upon investigation, a malicious URL was discovered. Which of the following should be done FIRST to prevent other users from accessing the malicious URL?",Configure the web content filter for the web address.,Report the website to threat intelligence partners.,Set the SIEM to alert for any activity to the web address.,Send out a corporate communication to warn all users of the malicious email.,,,,,A
A systems analyst is responsible for generating a new digital forensics chain-of-custody form. Which of the following should the analyst include in this documentation? (Choose two.),The order of volatility,A CRC32 checksum,The provenance of the artifacts,The vendor’s name,The date and time,A warning banner,,,A & E
An organization is migrating several SaaS applications that support SSO. The security manager wants to ensure the migration is completed securely. Which of the following application integration aspects should the organization consider before focusing into underlying implementation details? (Choose two.),The back-end directory source,The identity federation protocol,The hashing method,The encryption method,The registration authority,The certificate authority,,,B & F
A security analyst has been tasked with finding the maximum amount of data loss that can occur before ongoing business operations would be impacted. Which of the following terms BEST defines this metric?,MTTR,RTO,RPO,MTBF,,,,,C
"The IT department's on-site developer has been with the team for many years. Each time an application is released, the security team is able to identify multiple vulnerabilities. Which of the following would BEST help the team ensure the application is ready to be released to production?",Limit the use of third-party libraries.,Prevent data exposure queries.,Obfuscate the source code.,Submit the application to QA before releasing it,,,,,D
"During a security incident investigation, an analyst consults the company’s SIEM and sees an event concerning high traffic to a known, malicious command-and-control server. The analyst would like to determine the number of company workstations that may be impacted by this issue. Which of the following can provide this information?",WAF logs,DNS logs,System logs,Application logs,,,,,B
A company has a flat network that is deployed in the cloud. Security policy states that all production and development servers must be segmented. Which of the following should be used to design the network to meet the security requirements?,CASB,VPC,Perimeter network,WAF,,,,,B
A new plug-and-play storage device was installed on a PC in the corporate environment. Which of the following safeguards will BEST help to protect the PC from malicious files on the storage device?,Change the default settings on the PC.,Define the PC firewall rules to limit access.,Encrypt the disk on the storage device.,Plug the storage device in to the UPS,,,,,A
A company is adopting a BYOD policy and is looking for a comprehensive solution to protect company information on user devices. Which of the following solutions would BEST support the policy?,Mobile device management,Full-device encryption,Remote wipe,Biometrics,,,,,A
A company wants to modify its current backup strategy to minimize the number of backups that would need to be restored in case of data loss. Which of the following would be the BEST backup strategy to implement?,Incremental backups followed by differential backups,Full backups followed by incremental backups,Delta backups followed by differential backups,Incremental backups followed by delta backups,Full backups followed by differential backups,,,,E
"The compliance team requires an annual recertification of privileged and non-privileged user access. However, multiple users who left the company six months ago still have access. Which of the following would have prevented this compliance violation?",Account audits,AUP,Password reuse,SSO,,,,,A
A company recently experienced a data breach and the source was determined to be an executive who was charging a phone in a public area. Which of the following would MOST likely have prevented this breach?,A firewall,A device pin,A USB data blocker,Biometrics,,,,,C
The manager who is responsible for a data set has asked a security engineer to apply encryption to the data on a hard disk. The security engineer is an example of a __________.,data controller.,data owner.,data custodian.,data processor.,,,,,C
An organization with a low tolerance for user inconvenience wants to protect laptop hard drives against loss or data theft. Which of the following would be the MOST acceptable?,SED,HSM,DLP,TPM,,,,,A
"After segmenting the network, the network manager wants to control the traffic between the segments. Which of the following should the manager use to control the network traffic?",A DMZ,A VPN,A VLAN,An ACL,,,,,D
Which of the following BEST describes when an organization utilizes a ready-to-use application from a cloud provider?,IaaS,SaaS,PaaS,XaaS,,,,,B
Which of the following BEST helps to demonstrate integrity during a forensic investigation?,Event logs,Encryption,Hashing,Snapshots,,,,,C
Which of the following would be MOST effective to contain a rapidly spreading attack that is affecting a large number of organizations?,Machine learning,DNS sinkhole,Blocklist,Honeypot,,,,,B
"A network administrator has been alerted that web pages are experiencing long load times. After determining it is not a routing or DNS issue, the administrator logs in to the router, runs a command, and receives the following output:

CPU 0 percent busy, from 300 sec ago 
1 sec ave: 99 percent busy 
5 sec ave: 97 percent busy 
1 min ave: 83 percent busy 
Which of the following is the router experiencing?",DDoS attack,Memory leak,Buffer overflow,Resource exhaustion,,,,,D
